id,user_id,challenge_type,completion_time,snooze_count,success
1,1,memory,15,4,True
2,1,pattern,5,2,False
3,1,memory,11,4,True
4,1,logic,27,3,True
5,1,pattern,27,0,True
6,1,math,8,4,False
7,1,math,18,4,False
8,1,math,25,4,False
9,1,memory,16,3,True
10,1,memory,37,0,True
11,1,riddle,15,0,True
12,1,riddle,12,4,False
13,1,riddle,30,4,False
14,1,pattern,11,2,False
15,1,math,7,4,True
16,1,memory,12,5,True
17,1,math,43,3,True
18,1,math,18,2,True
19,1,logic,38,5,True
20,1,riddle,36,2,True
21,1,logic,19,0,True
22,1,pattern,12,1,False
23,1,logic,10,1,True
24,1,logic,29,3,False
25,1,logic,28,3,False
26,1,pattern,9,0,False
27,1,math,36,2,False
28,1,pattern,18,1,False
29,1,logic,38,1,True
30,1,memory,10,3,True
31,1,pattern,12,1,True
33,1,math,20,0,False
